Table with column headers in rows 3 and 4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2024 Poverty and Median Household Income Estimates - Counties, States, and National
Source: U.S. Census Bureau, Small Area Income and Poverty Estimates (SAIPE) Program January 2026, Project No. P-7502872 / Approval CBDRB-FY25-0429.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Geographic Information,,,,All Ages,,,,,,Age 0-17,,,,,,Age 5-17 in Families,,,,,,Median Household Income,,,Age 0-4,,,,,
State FIPS Code,County FIPS Code,Postal Code,Name,"Poverty Estimate, All Ages",90% CI Lower Bound,90% CI Upper Bound,"Poverty Percent, All Ages",90% CI Lower Bound,90% CI Upper Bound,"Poverty Estimate, Age 0-17",90% CI Lower Bound,90% CI Upper Bound,"Poverty Percent, Age 0-17",90% CI Lower Bound,90% CI Upper Bound,"Poverty Estimate, Age 5-17 in Families",90% CI Lower Bound,90% CI Upper Bound,"Poverty Percent, Age 5-17 in Families",90% CI Lower Bound,90% CI Upper Bound,Median Household Income,90% CI Lower Bound,90% CI Upper Bound,"Poverty Estimate, Age 0-4",90% CI Lower Bound,90% CI Upper Bound,"Poverty Percent, Age 0-4",90% CI Lower Bound,90% CI Upper Bound
46,021,SD,Campbell County,141,106,176,10.5,7.9,13.1,29,18,40,11.0,6.9,15.1,22,13,31,13.2,7.5,18.9,"71,257","63,170","79,344",.,.,.,.,.,.
46,023,SD,Charles Mix County,"1,844","1,445","2,243",20.3,15.9,24.7,717,465,969,26.1,16.9,35.3,491,296,686,25.0,15.1,34.9,"59,612","53,002","66,222",.,.,.,.,.,.
46,025,SD,Clark County,373,278,468,10.0,7.5,12.5,116,71,161,11.6,7.1,16.1,77,42,112,11.6,6.4,16.8,"79,333","71,351","87,315",.,.,.,.,.,.
46,027,SD,Clay County,"2,457","1,954","2,960",19.3,15.3,23.3,367,232,502,14.2,9.0,19.4,243,141,345,12.5,7.2,17.8,"59,556","52,944","66,168",.,.,.,.,.,.
46,029,SD,Codington County,"2,386","1,821","2,951",8.3,6.3,10.3,522,325,719,8.1,5.1,11.1,335,183,487,6.8,3.7,9.9,"78,115","70,623","85,607",.,.,.,.,.,.
46,031,SD,Corson County,"1,415","1,151","1,679",37.9,30.8,45.0,704,512,896,54.4,39.6,69.2,481,332,630,53.0,36.6,69.4,"42,573","37,600","47,546",.,.,.,.,.,.
46,033,SD,Custer County,883,693,"1,073",9.6,7.5,11.7,152,96,208,11.8,7.5,16.1,108,62,154,11.6,6.6,16.6,"80,312","70,713","89,911",.,.,.,.,.,.
46,035,SD,Davison County,"2,101","1,615","2,587",10.8,8.3,13.3,478,305,651,10.8,6.9,14.7,330,194,466,10.1,6.0,14.2,"72,516","64,633","80,399",.,.,.,.,.,.
46,037,SD,Day County,823,673,973,15.5,12.7,18.3,213,152,274,18.2,13.0,23.4,166,117,215,18.4,13.0,23.8,"66,991","59,236","74,746",.,.,.,.,.,.
46,039,SD,Deuel County,367,279,455,8.6,6.5,10.7,74,46,102,7.0,4.4,9.6,50,27,73,6.5,3.6,9.4,"83,163","76,281","90,045",.,.,.,.,.,.
46,041,SD,Dewey County,"1,526","1,269","1,783",28.8,24.0,33.6,599,388,810,27.7,17.9,37.5,413,238,588,28.6,16.5,40.7,"46,718","41,415","52,021",.,.,.,.,.,.
46,043,SD,Douglas County,282,215,349,10.3,7.9,12.7,82,51,113,10.9,6.7,15.1,57,31,83,10.9,6.0,15.8,"74,820","66,499","83,141",.,.,.,.,.,.
46,045,SD,Edmunds County,425,323,527,11.0,8.4,13.6,110,70,150,13.7,8.7,18.7,76,44,108,13.9,8.0,19.8,"80,423","71,263","89,583",.,.,.,.,.,.
46,047,SD,Fall River County,835,617,"1,053",11.7,8.7,14.7,188,118,258,16.3,10.2,22.4,131,74,188,14.4,8.1,20.7,"71,364","64,912","77,816",.,.,.,.,.,.
46,049,SD,Faulk County,267,199,335,13.7,10.2,17.2,95,58,132,20.4,12.5,28.3,66,36,96,25.4,14.0,36.8,"71,926","63,477","80,375",.,.,.,.,.,.
46,051,SD,Grant County,641,483,799,8.6,6.5,10.7,162,99,225,9.5,5.8,13.2,116,63,169,9.3,5.0,13.6,"77,781","69,114","86,448",.,.,.,.,.,.
46,053,SD,Gregory County,568,431,705,14.1,10.7,17.5,165,102,228,16.8,10.4,23.2,114,63,165,15.4,8.5,22.3,"56,836","50,427","63,245",.,.,.,.,.,.
46,055,SD,Haakon County,195,149,241,10.8,8.2,13.4,46,29,63,10.4,6.6,14.2,32,18,46,9.9,5.7,14.1,"74,649","67,702","81,596",.,.,.,.,.,.
46,057,SD,Hamlin County,527,408,646,8.2,6.4,10.0,158,98,218,7.4,4.6,10.2,109,61,157,7.5,4.2,10.8,"80,325","73,534","87,116",.,.,.,.,.,.
46,059,SD,Hand County,256,196,316,8.4,6.4,10.4,45,28,62,6.3,3.9,8.7,30,17,43,5.5,3.1,7.9,"73,983","65,302","82,664",.,.,.,.,.,.
46,061,SD,Hanson County,293,220,366,8.7,6.5,10.9,89,55,123,10.6,6.5,14.7,61,34,88,11.0,6.1,15.9,"87,793","78,061","97,525",.,.,.,.,.,.
46,063,SD,Harding County,157,118,196,11.8,8.9,14.7,41,25,57,13.4,8.2,18.6,29,16,42,13.4,7.3,19.5,"65,228","58,781","71,675",.,.,.,.,.,.
46,065,SD,Hughes County,"1,458","1,103","1,813",8.7,6.6,10.8,374,225,523,9.1,5.5,12.7,250,132,368,8.1,4.3,11.9,"83,936","74,165","93,707",.,.,.,.,.,.
46,067,SD,Hutchinson County,860,692,"1,028",12.2,9.8,14.6,229,146,312,13.1,8.3,17.9,159,93,225,13.1,7.7,18.5,"73,237","65,674","80,800",.,.,.,.,.,.
46,069,SD,Hyde County,138,103,173,11.7,8.7,14.7,43,27,59,15.0,9.4,20.6,31,18,44,15.2,8.7,21.7,"62,207","55,579","68,835",.,.,.,.,.,.
46,071,SD,Jackson County,785,612,958,29.1,22.7,35.5,411,259,563,42.5,26.8,58.2,291,167,415,42.7,24.6,60.8,"50,228","44,181","56,275",.,.,.,.,.,.
46,073,SD,Jerauld County,233,176,290,14.3,10.8,17.8,67,42,92,17.6,11.0,24.2,47,27,67,19.7,11.3,28.1,"66,644","59,042","74,246",.,.,.,.,.,.
46,075,SD,Jones County,115,86,144,13.2,9.9,16.5,42,26,58,22.0,13.5,30.5,31,17,45,21.4,11.9,30.9,"62,147","54,627","69,667",.,.,.,.,.,.
46,077,SD,Kingsbury County,462,352,572,9.0,6.8,11.2,132,83,181,10.3,6.5,14.1,96,56,136,10.5,6.1,14.9,"75,613","68,374","82,852",.,.,.,.,.,.
46,079,SD,Lake County,924,691,"1,157",8.8,6.6,11.0,181,114,248,8.3,5.2,11.4,123,69,177,7.7,4.3,11.1,"80,099","70,873","89,325",.,.,.,.,.,.
46,081,SD,Lawrence County,"3,144","2,499","3,789",11.3,9.0,13.6,459,297,621,10.3,6.7,13.9,303,182,424,9.1,5.5,12.7,"78,721","70,883","86,559",.,.,.,.,.,.
46,083,SD,Lincoln County,"2,825","2,179","3,471",3.8,2.9,4.7,669,420,918,3.6,2.3,4.9,455,257,653,3.2,1.8,4.6,"106,557","97,917","115,197",.,.,.,.,.,.
46,085,SD,Lyman County,785,625,945,21.4,17.0,25.8,285,193,377,28.4,19.2,37.6,196,125,267,28.4,18.1,38.7,"62,598","57,250","67,946",.,.,.,.,.,.
46,087,SD,McCook County,464,355,573,8.3,6.3,10.3,143,92,194,8.9,5.7,12.1,101,57,145,8.6,4.9,12.3,"83,250","77,485","89,015",.,.,.,.,.,.
46,089,SD,McPherson County,385,318,452,17.9,14.8,21.0,104,64,144,24.9,15.4,34.4,70,39,101,24.2,13.4,35.0,"75,475","69,957","80,993",.,.,.,.,.,.
46,091,SD,Marshall County,402,289,515,9.5,6.8,12.2,168,105,231,16.7,10.5,22.9,118,66,170,17.7,10.0,25.4,"74,964","68,231","81,697",.,.,.,.,.,.
46,093,SD,Meade County,"2,415","1,872","2,958",8.1,6.3,9.9,482,301,663,7.8,4.9,10.7,326,184,468,6.9,3.9,9.9,"76,427","68,529","84,325",.,.,.,.,.,.
46,095,SD,Mellette County,462,349,575,25.9,19.6,32.2,175,111,239,31.7,20.2,43.2,122,71,173,29.7,17.3,42.1,"51,141","44,983","57,299",.,.,.,.,.,.
46,097,SD,Miner County,251,190,312,11.3,8.6,14.0,65,41,89,12.7,8.1,17.3,45,26,64,12.1,7.0,17.2,"74,548","70,274","78,822",.,.,.,.,.,.
46,099,SD,Minnehaha County,"15,301","12,935","17,667",7.5,6.3,8.7,"3,798","2,650","4,946",7.4,5.2,9.6,"2,748","1,859","3,637",7.3,4.9,9.7,"80,546","74,349","86,743",.,.,.,.,.,.
46,101,SD,Moody County,649,517,781,10.1,8.0,12.2,156,99,213,9.2,5.9,12.5,110,65,155,9.0,5.3,12.7,"77,922","69,517","86,327",.,.,.,.,.,.
46,102,SD,Oglala Lakota County,"4,632","3,567","5,697",35.8,27.6,44.0,"1,834","1,215","2,453",39.7,26.3,53.1,"1,279",784,"1,774",36.4,22.3,50.5,"44,706","39,299","50,113",.,.,.,.,.,.
46,103,SD,Pennington County,"11,021","9,157","12,885",9.8,8.1,11.5,"2,899","1,950","3,848",11.7,7.9,15.5,"1,956","1,224","2,688",10.7,6.7,14.7,"79,338","74,848","83,828",.,.,.,.,.,.
46,105,SD,Perkins County,358,266,450,12.8,9.5,16.1,110,69,151,16.9,10.6,23.2,76,43,109,15.8,8.9,22.7,"59,364","52,995","65,733",.,.,.,.,.,.
46,107,SD,Potter County,226,171,281,9.6,7.3,11.9,50,31,69,9.7,6.1,13.3,34,19,49,8.4,4.7,12.1,"70,736","62,727","78,745",.,.,.,.,.,.
46,109,SD,Roberts County,"1,626","1,269","1,983",16.2,12.6,19.8,558,362,754,19.3,12.5,26.1,384,228,540,17.9,10.6,25.2,"62,083","57,078","67,088",.,.,.,.,.,.
46,111,SD,Sanborn County,293,219,367,12.7,9.5,15.9,88,55,121,15.7,9.8,21.6,60,34,86,15.6,8.8,22.4,"74,310","67,627","80,993",.,.,.,.,.,.
46,115,SD,Spink County,689,535,843,11.7,9.1,14.3,185,120,250,14.1,9.1,19.1,126,76,176,13.5,8.2,18.8,"63,148","57,772","68,524",.,.,.,.,.,.
46,117,SD,Stanley County,222,168,276,7.4,5.6,9.2,47,30,64,7.4,4.8,10.0,33,20,46,6.8,4.0,9.6,"88,080","78,206","97,954",.,.,.,.,.,.
46,119,SD,Sully County,118,88,148,8.0,5.9,10.1,22,14,30,7.8,4.8,10.8,16,9,23,7.0,3.9,10.1,"80,411","72,020","88,802",.,.,.,.,.,.
46,121,SD,Todd County,"2,986","2,260","3,712",32.9,24.9,40.9,"1,515",961,"2,069",41.7,26.4,57.0,"1,036",597,"1,475",37.4,21.5,53.3,"45,187","39,806","50,568",.,.,.,.,.,.
46,123,SD,Tripp County,892,659,"1,125",16.3,12.0,20.6,312,197,427,22.8,14.4,31.2,216,123,309,22.9,13.0,32.8,"63,882","56,781","70,983",.,.,.,.,.,.
46,125,SD,Turner County,852,679,"1,025",9.5,7.6,11.4,192,126,258,8.6,5.7,11.5,137,81,193,8.2,4.9,11.5,"77,615","69,095","86,135",.,.,.,.,.,.
46,127,SD,Union County,"1,005",769,"1,241",5.8,4.4,7.2,193,121,265,4.7,2.9,6.5,125,69,181,4.0,2.2,5.8,"101,682","92,213","111,151",.,.,.,.,.,.
46,129,SD,Walworth County,758,579,937,14.6,11.1,18.1,233,150,316,18.5,11.9,25.1,156,89,223,17.4,9.9,24.9,"56,788","50,389","63,187",.,.,.,.,.,.
46,135,SD,Yankton County,"2,386","1,893","2,879",10.9,8.6,13.2,472,306,638,9.9,6.4,13.4,306,172,440,8.6,4.8,12.4,"73,710","66,572","80,848",.,.,.,.,.,.
46,137,SD,Ziebach County,"1,108",866,"1,350",45.8,35.8,55.8,342,237,447,55.0,38.1,71.9,226,144,308,60.3,38.5,82.1,"45,049","39,560","50,538",.,.,.,.,.,.
47,000,TN,Tennessee,"942,730","921,033","964,427",13.3,13.0,13.6,"285,986","271,680","300,292",18.4,17.5,19.3,"203,402","190,234","216,570",17.9,16.7,19.1,"72,007","71,375","72,639","72,238","67,119","77,357",17.9,16.6,19.2
47,001,TN,Anderson County,"9,263","7,334","11,192",11.5,9.1,13.9,"2,704","1,883","3,525",16.2,11.3,21.1,"1,852","1,196","2,508",14.9,9.6,20.2,"72,300","67,830","76,770",.,.,.,.,.,.
47,003,TN,Bedford County,"6,464","5,129","7,799",12.2,9.7,14.7,"2,600","2,036","3,164",19.7,15.4,24.0,"2,166","1,752","2,580",22.6,18.3,26.9,"69,879","63,434","76,324",.,.,.,.,.,.
47,005,TN,Benton County,"2,728","2,160","3,296",17.0,13.5,20.5,760,522,998,24.3,16.7,31.9,552,357,747,23.4,15.1,31.7,"56,138","53,145","59,131",.,.,.,.,.,.
47,007,TN,Bledsoe County,"2,585","1,954","3,216",19.4,14.7,24.1,496,341,651,21.9,15.1,28.7,362,236,488,21.8,14.2,29.4,"57,188","50,792","63,584",.,.,.,.,.,.
47,009,TN,Blount County,"12,931","10,411","15,451",9.2,7.4,11.0,"2,685","1,755","3,615",9.8,6.4,13.2,"1,897","1,123","2,671",9.3,5.5,13.1,"78,132","73,387","82,877",.,.,.,.,.,.
47,011,TN,Bradley County,"12,925","10,498","15,352",11.6,9.4,13.8,"3,636","2,536","4,736",15.1,10.5,19.7,"2,516","1,606","3,426",14.1,9.0,19.2,"70,651","66,180","75,122",.,.,.,.,.,.
47,013,TN,Campbell County,"7,511","6,074","8,948",18.9,15.3,22.5,"2,108","1,565","2,651",26.2,19.5,32.9,"1,580","1,138","2,022",26.9,19.4,34.4,"54,150","50,321","57,979",.,.,.,.,.,.
47,015,TN,Cannon County,"2,106","1,698","2,514",14.1,11.4,16.8,592,415,769,18.4,12.9,23.9,444,302,586,19.0,12.9,25.1,"65,364","59,024","71,704",.,.,.,.,.,.
47,017,TN,Carroll County,"4,584","3,653","5,515",16.5,13.2,19.8,"1,321",929,"1,713",21.1,14.9,27.3,925,611,"1,239",19.8,13.1,26.5,"55,245","49,703","60,787",.,.,.,.,.,.
47,019,TN,Carter County,"9,008","7,170","10,846",16.1,12.8,19.4,"2,013","1,366","2,660",20.8,14.1,27.5,"1,509",988,"2,030",21.0,13.8,28.2,"51,256","48,250","54,262",.,.,.,.,.,.
47,021,TN,Cheatham County,"3,559","2,700","4,418",8.4,6.4,10.4,986,660,"1,312",11.3,7.6,15.0,660,402,918,10.2,6.2,14.2,"89,490","81,728","97,252",.,.,.,.,.,.
47,023,TN,Chester County,"2,073","1,569","2,577",12.5,9.5,15.5,630,415,845,16.6,10.9,22.3,449,273,625,16.1,9.8,22.4,"64,789","57,463","72,115",.,.,.,.,.,.
47,025,TN,Claiborne County,"5,189","3,921","6,457",16.4,12.4,20.4,"1,281",829,"1,733",21.2,13.7,28.7,906,541,"1,271",20.4,12.2,28.6,"53,212","47,943","58,481",.,.,.,.,.,.
47,027,TN,Clay County,"1,530","1,203","1,857",19.7,15.5,23.9,433,304,562,28.4,19.9,36.9,334,227,441,29.2,19.8,38.6,"48,100","42,413","53,787",.,.,.,.,.,.
47,029,TN,Cocke County,"7,823","6,417","9,229",20.9,17.1,24.7,"2,435","1,867","3,003",32.9,25.2,40.6,"1,670","1,184","2,156",30.3,21.5,39.1,"50,830","46,421","55,239",.,.,.,.,.,.
47,031,TN,Coffee County,"9,354","7,973","10,735",15.5,13.2,17.8,"3,109","2,479","3,739",21.9,17.5,26.3,"2,469","1,973","2,965",23.5,18.8,28.2,"68,092","63,838","72,346",.,.,.,.,.,.
47,033,TN,Crockett County,"1,927","1,461","2,393",14.0,10.6,17.4,570,383,757,18.0,12.1,23.9,396,242,550,17.0,10.4,23.6,"60,637","54,764","66,510",.,.,.,.,.,.
47,035,TN,Cumberland County,"8,573","7,011","10,135",13.2,10.8,15.6,"2,231","1,618","2,844",20.8,15.1,26.5,"1,656","1,156","2,156",20.8,14.5,27.1,"63,432","58,419","68,445",.,.,.,.,.,.
47,037,TN,Davidson County,"86,412","75,958","96,866",12.2,10.7,13.7,"25,227","19,447","31,007",17.2,13.3,21.1,"17,234","12,400","22,068",17.3,12.4,22.2,"80,803","78,423","83,183",.,.,.,.,.,.
47,039,TN,Decatur County,"1,745","1,349","2,141",15.0,11.6,18.4,465,301,629,20.0,13.0,27.0,335,200,470,19.4,11.6,27.2,"53,616","47,529","59,703",.,.,.,.,.,.
47,041,TN,DeKalb County,"2,993","2,318","3,668",13.9,10.8,17.0,863,594,"1,132",18.9,13.0,24.8,597,369,825,18.6,11.5,25.7,"60,271","53,586","66,956",.,.,.,.,.,.
47,043,TN,Dickson County,"5,742","4,472","7,012",10.1,7.9,12.3,"1,595","1,057","2,133",12.8,8.5,17.1,"1,133",706,"1,560",12.5,7.8,17.2,"75,713","69,860","81,566",.,.,.,.,.,.
47,045,TN,Dyer County,"5,136","3,886","6,386",14.3,10.8,17.8,"1,707","1,138","2,276",20.1,13.4,26.8,"1,240",778,"1,702",19.9,12.5,27.3,"63,008","58,659","67,357",.,.,.,.,.,.
47,047,TN,Fayette County,"4,077","3,110","5,044",9.3,7.1,11.5,"1,093",727,"1,459",14.6,9.7,19.5,766,460,"1,072",14.2,8.5,19.9,"90,590","82,947","98,233",.,.,.,.,.,.
47,049,TN,Fentress County,"3,761","2,970","4,552",19.0,15.0,23.0,997,678,"1,316",25.1,17.1,33.1,732,467,997,24.4,15.5,33.3,"50,626","45,107","56,145",.,.,.,.,.,.
47,051,TN,Franklin County,"5,115","4,000","6,230",12.0,9.4,14.6,"1,372",946,"1,798",16.1,11.1,21.1,956,620,"1,292",15.3,9.9,20.7,"66,904","61,542","72,266",.,.,.,.,.,.
47,053,TN,Gibson County,"7,273","5,928","8,618",14.4,11.7,17.1,"2,122","1,491","2,753",17.5,12.3,22.7,"1,448",936,"1,960",15.9,10.3,21.5,"61,163","56,012","66,314",.,.,.,.,.,.
47,055,TN,Giles County,"3,993","3,102","4,884",13.3,10.3,16.3,"1,182",818,"1,546",19.0,13.1,24.9,833,530,"1,136",18.2,11.6,24.8,"65,859","59,415","72,303",.,.,.,.,.,.
47,057,TN,Grainger County,"3,536","2,716","4,356",14.2,10.9,17.5,881,601,"1,161",19.2,13.1,25.3,630,404,856,18.7,12.0,25.4,"52,222","47,698","56,746",.,.,.,.,.,.
47,059,TN,Greene County,"11,595","9,659","13,531",16.3,13.6,19.0,"2,784","2,087","3,481",21.0,15.7,26.3,"2,031","1,476","2,586",20.4,14.8,26.0,"58,962","53,463","64,461",.,.,.,.,.,.
47,061,TN,Grundy County,"2,805","2,200","3,410",20.2,15.8,24.6,783,550,"1,016",26.0,18.3,33.7,571,389,753,26.9,18.3,35.5,"49,568","44,442","54,694",.,.,.,.,.,.
47,063,TN,Hamblen County,"9,980","8,141","11,819",14.8,12.1,17.5,"2,872","1,982","3,762",18.2,12.6,23.8,"2,098","1,377","2,819",18.1,11.9,24.3,"60,725","55,408","66,042",.,.,.,.,.,.
47,065,TN,Hamilton County,"54,872","50,243","59,501",14.5,13.3,15.7,"17,420","15,369","19,471",22.0,19.4,24.6,"11,591","9,905","13,277",20.3,17.3,23.3,"78,271","74,907","81,635",.,.,.,.,.,.
47,067,TN,Hancock County,"1,798","1,425","2,171",26.1,20.7,31.5,563,404,722,38.7,27.7,49.7,388,250,526,35.1,22.6,47.6,"41,664","36,868","46,460",.,.,.,.,.,.
47,069,TN,Hardeman County,"4,638","3,609","5,667",21.5,16.7,26.3,"1,292",871,"1,713",26.5,17.9,35.1,940,593,"1,287",26.4,16.7,36.1,"45,433","41,457","49,409",.,.,.,.,.,.
47,071,TN,Hardin County,"4,858","3,919","5,797",18.0,14.5,21.5,"1,444","1,076","1,812",27.0,20.1,33.9,"1,064",764,"1,364",26.8,19.2,34.4,"55,243","49,503","60,983",.,.,.,.,.,.
47,073,TN,Hawkins County,"7,964","6,372","9,556",13.6,10.9,16.3,"1,932","1,285","2,579",17.7,11.8,23.6,"1,315",791,"1,839",16.2,9.7,22.7,"58,842","54,232","63,452",.,.,.,.,.,.
47,075,TN,Haywood County,"3,332","2,606","4,058",19.8,15.5,24.1,"1,102",791,"1,413",30.7,22.0,39.4,812,557,"1,067",30.3,20.8,39.8,"53,818","49,811","57,825",.,.,.,.,.,.
47,077,TN,Henderson County,"3,987","3,218","4,756",14.4,11.6,17.2,"1,184",872,"1,496",19.1,14.1,24.1,911,659,"1,163",19.7,14.2,25.2,"58,495","52,300","64,690",.,.,.,.,.,.
47,079,TN,Henry County,"5,559","4,603","6,515",17.1,14.2,20.0,"1,542","1,120","1,964",24.4,17.7,31.1,"1,063",699,"1,427",22.3,14.7,29.9,"54,189","49,241","59,137",.,.,.,.,.,.
47,081,TN,Hickman County,"3,234","2,396","4,072",13.2,9.8,16.6,963,631,"1,295",18.1,11.9,24.3,733,455,"1,011",19.1,11.9,26.3,"68,886","63,018","74,754",.,.,.,.,.,.
47,083,TN,Houston County,"1,305","1,009","1,601",15.6,12.1,19.1,392,275,509,22.3,15.7,28.9,268,171,365,19.9,12.7,27.1,"60,114","53,125","67,103",.,.,.,.,.,.
47,085,TN,Humphreys County,"2,319","1,768","2,870",12.2,9.3,15.1,560,358,762,15.6,10.0,21.2,452,280,624,17.0,10.5,23.5,"67,537","60,157","74,917",.,.,.,.,.,.
47,087,TN,Jackson County,"1,982","1,532","2,432",16.3,12.6,20.0,515,358,672,23.4,16.3,30.5,398,269,527,24.6,16.6,32.6,"54,877","49,094","60,660",.,.,.,.,.,.
47,089,TN,Jefferson County,"6,995","5,495","8,495",12.1,9.5,14.7,"1,781","1,217","2,345",16.4,11.2,21.6,"1,274",811,"1,737",15.5,9.9,21.1,"66,911","61,053","72,769",.,.,.,.,.,.
47,091,TN,Johnson County,"3,533","2,798","4,268",20.9,16.5,25.3,819,594,"1,044",27.8,20.2,35.4,585,398,772,27.1,18.4,35.8,"50,816","44,962","56,670",.,.,.,.,.,.
47,093,TN,Knox County,"63,196","57,764","68,628",12.8,11.7,13.9,"15,646","13,050","18,242",15.2,12.7,17.7,"11,789","9,744","13,834",15.6,12.9,18.3,"75,465","72,769","78,161",.,.,.,.,.,.
47,095,TN,Lake County,"1,478","1,109","1,847",31.2,23.4,39.0,366,246,486,38.4,25.8,51.0,257,159,355,39.5,24.5,54.5,"42,267","37,490","47,044",.,.,.,.,.,.
47,097,TN,Lauderdale County,"4,696","3,680","5,712",20.7,16.2,25.2,"1,456",996,"1,916",27.9,19.1,36.7,"1,070",698,"1,442",28.1,18.3,37.9,"53,232","48,562","57,902",.,.,.,.,.,.
47,099,TN,Lawrence County,"6,361","5,129","7,593",13.9,11.2,16.6,"2,028","1,366","2,690",17.8,12.0,23.6,"1,381",832,"1,930",16.4,9.9,22.9,"61,295","55,018","67,572",.,.,.,.,.,.
47,101,TN,Lewis County,"1,867","1,446","2,288",14.1,10.9,17.3,531,349,713,18.4,12.1,24.7,387,236,538,18.0,11.0,25.0,"62,426","55,354","69,498",.,.,.,.,.,.
47,103,TN,Lincoln County,"4,402","3,387","5,417",12.1,9.3,14.9,"1,343",897,"1,789",16.8,11.2,22.4,972,612,"1,332",16.5,10.4,22.6,"66,757","60,015","73,499",.,.,.,.,.,.
47,105,TN,Loudon County,"5,576","4,383","6,769",9.0,7.1,10.9,"1,570","1,110","2,030",13.8,9.8,17.8,"1,112",746,"1,478",13.2,8.8,17.6,"84,882","77,705","92,059",.,.,.,.,.,.
47,107,TN,McMinn County,"7,652","6,131","9,173",13.7,11.0,16.4,"2,160","1,515","2,805",18.3,12.8,23.8,"1,496",983,"2,009",17.4,11.4,23.4,"61,178","55,472","66,884",.,.,.,.,.,.
47,109,TN,McNairy County,"4,292","3,441","5,143",16.7,13.4,20.0,"1,262",911,"1,613",23.1,16.7,29.5,845,563,"1,127",20.9,13.9,27.9,"56,334","51,044","61,624",.,.,.,.,.,.
47,111,TN,Macon County,"4,278","3,425","5,131",16.0,12.8,19.2,"1,394",991,"1,797",21.0,14.9,27.1,951,626,"1,276",19.5,12.9,26.1,"59,183","52,737","65,629",.,.,.,.,.,.
47,113,TN,Madison County,"16,689","14,221","19,157",17.5,14.9,20.1,"5,276","4,082","6,470",24.1,18.7,29.5,"3,706","2,742","4,670",23.2,17.2,29.2,"63,628","58,496","68,760",.,.,.,.,.,.
47,115,TN,Marion County,"4,084","3,194","4,974",13.8,10.8,16.8,"1,136",765,"1,507",19.2,12.9,25.5,807,507,"1,107",18.7,11.7,25.7,"64,375","58,286","70,464",.,.,.,.,.,.
47,117,TN,Marshall County,"3,367","2,592","4,142",9.0,6.9,11.1,"1,032",684,"1,380",11.9,7.9,15.9,746,453,"1,039",11.7,7.1,16.3,"72,893","65,293","80,493",.,.,.,.,.,.
47,119,TN,Maury County,"9,756","7,722","11,790",8.7,6.9,10.5,"2,829","1,845","3,813",11.3,7.4,15.2,"1,959","1,176","2,742",10.9,6.5,15.3,"82,751","76,501","89,001",.,.,.,.,.,.
47,121,TN,Meigs County,"2,004","1,576","2,432",14.5,11.4,17.6,571,370,772,20.5,13.3,27.7,407,242,572,19.5,11.6,27.4,"61,354","56,136","66,572",.,.,.,.,.,.
47,123,TN,Monroe County,"6,103","4,813","7,393",12.6,9.9,15.3,"1,628","1,090","2,166",16.9,11.3,22.5,"1,160",728,"1,592",16.3,10.2,22.4,"62,682","57,543","67,821",.,.,.,.,.,.
47,125,TN,Montgomery County,"24,614","20,385","28,843",10.2,8.4,12.0,"9,075","6,867","11,283",14.3,10.8,17.8,"6,408","4,588","8,228",14.2,10.2,18.2,"78,956","74,461","83,451",.,.,.,.,.,.
47,127,TN,Moore County,594,439,749,8.9,6.6,11.2,148,99,197,11.7,7.8,15.6,109,67,151,11.5,7.1,15.9,"76,465","67,395","85,535",.,.,.,.,.,.
47,129,TN,Morgan County,"3,304","2,636","3,972",16.6,13.2,20.0,857,646,"1,068",20.9,15.8,26.0,610,437,783,19.3,13.8,24.8,"60,822","54,132","67,512",.,.,.,.,.,.
47,131,TN,Obion County,"4,672","3,818","5,526",15.6,12.7,18.5,"1,347",941,"1,753",20.9,14.6,27.2,973,643,"1,303",20.4,13.5,27.3,"58,186","54,378","61,994",.,.,.,.,.,.
47,133,TN,Overton County,"3,144","2,431","3,857",13.5,10.4,16.6,797,528,"1,066",17.0,11.3,22.7,559,338,780,15.9,9.6,22.2,"56,460","50,785","62,135",.,.,.,.,.,.
47,135,TN,Perry County,"1,397","1,064","1,730",15.9,12.1,19.7,462,316,608,23.5,16.1,30.9,344,222,466,23.9,15.4,32.4,"55,337","48,846","61,828",.,.,.,.,.,.
47,137,TN,Pickett County,795,615,975,15.8,12.2,19.4,204,145,263,24.5,17.4,31.6,156,107,205,25.2,17.3,33.1,"52,519","46,596","58,442",.,.,.,.,.,.
47,139,TN,Polk County,"2,638","2,093","3,183",14.6,11.6,17.6,610,407,813,18.4,12.3,24.5,453,280,626,18.3,11.3,25.3,"63,014","57,879","68,149",.,.,.,.,.,.
47,141,TN,Putnam County,"14,982","13,313","16,651",18.4,16.3,20.5,"3,759","3,125","4,393",21.8,18.1,25.5,"2,396","1,827","2,965",18.9,14.4,23.4,"61,722","56,227","67,217",.,.,.,.,.,.
47,143,TN,Rhea County,"4,712","3,721","5,703",14.0,11.1,16.9,"1,325",872,"1,778",18.4,12.1,24.7,969,591,"1,347",18.5,11.3,25.7,"56,791","50,647","62,935",.,.,.,.,.,.
47,145,TN,Roane County,"6,782","5,332","8,232",12.1,9.5,14.7,"1,661","1,144","2,178",15.9,10.9,20.9,"1,147",728,"1,566",14.6,9.3,19.9,"77,481","72,136","82,826",.,.,.,.,.,.
