"Electric.Power.Plant.Name","Operating.Utility.Name","City","State","Primary.Energy.Source","Maximum.Summer.Capacity..Megawatts.","Longitude","Latitude"
"Vitro Architectural Glass (PA)","Vitro Architectural Glass (PA)","Carlisle","Pennsylvania","petroleum",5,-77.164444,40.126389
"Battle Creek Mill","RockTenn-Battle Creek Mill","Battle Creek","Michigan","natural gas",1.6,-85.2043,42.3221
"Vitro Flat Glass LLC","Vitro Flat Glass LLC","Fresno","California","petroleum",2.6,-119.72,36.69
"Burgess BioPower","Berlin Station, LLC","Berlin","New Hampshire","biomass",67.5,-71.175278,44.471944
"Irwindale Brew Yard, LLC","Irwindale Brew Yard, LLC","Irwindale","California","natural gas",9.6,-117.938333,34.121667
"Molson Coors Shenandoah Brewery","Molson Coors Shenandoah Brewery","Elkton","Virginia","biomass",1.4,-78.676667,38.356944
"Decatur-Morgan Co LFG Recovery Project","Energy Developments, Inc d/b/a EDL","Trinity","Alabama","biomass",1.6,-87.101111,34.623611
"Imperial Valley Solar Company 1 LLC","Imperial Irrigation District","Niland","California","solar",23,-115.496667,33.245833
"SABIC Innovative Plastics Mt. Vernon","SABIC IP Mt. Vernon, LLC","Mount Vernon","Indiana","natural gas",78.6,-87.926111,37.910278
"Laredo Bus Facility Solar Canopies","MARTA","Decatur","Georgia","solar",1,-84.267778,33.783333
"Charlestown Wind Turbine","MWRA Charlestown","Charlestown","Massachusetts","wind",1.5,-71.070833,42.391389
"PCA, Filer City Mill","PCA, Filer City Mill","Filer City","Michigan","natural gas",19.5,-86.286667,44.213333
"SunE CPS1 LLC","SunE CPS1 LLC","San Antonio","Texas","solar",9.9,-98.418333,29.245
"PRSI FCC Generator","Pasadena Refining System Inc","Pasadena","Texas","petroleum",3,-95.210278,29.723333
"Mercer Mall","FRIT Solar Inc","Lawrenceville","New Jersey","solar",1.1,-74.681944,40.290556
"Windwalkers LLC","Consolidated Edison Development Inc.","Kensett","Iowa","wind",1.6,-93.221389,43.384722
"SEPV 1","CVI CleanCapital Solar 1 LLC","Palmdale","California","solar",2,-117.939444,34.618861
"SEPV 2","CVI CleanCapital Solar 1 LLC","Twentynine Palms","California","solar",2,-116.152778,34.174167
"El Dorado Refinery","Frontier El Dorado Refinery LLC","El Dorado","Kansas","natural gas",32,-96.877222,37.792778
"Edwards Air Force Base","CleanCapital Holdings","Edwards","California","solar",3,-117.9206,34.9077
"Rocky Ridge Wind Project","Rocky Ridge Wind Project LLC","Hobart","Oklahoma","wind",148.8,-99.003056,35.135556
"Newark Energy Center","Hartree Partners LP","Newark","New Jersey","natural gas",705,-74.125833,40.707222
"Wolf Ridge Wind","NextEra Wolf Ridge LLC","Muenster","Texas","wind",112.5,-97.428406,33.733006
"Western Sugar Coop- Ft Morgan","Western Sugar Cooperative","Fort Morgan","Colorado","natural gas",3,-103.8069,40.263
"AMP Napoleon Solar Facility","American Mun Power-Ohio, Inc","Napoleon","Ohio","solar",3.5,-84.110833,41.406667
"Kimberly Clark-Unit 1,2,3","Kimberly-Clark Corporation","New Milford","Connecticut","natural gas",33.1,-73.413611,41.558333
"PRC-Desoto Intl/PPG Aerospace","PRC-Desoto Intl Corp./PPG","Mojave","California","petroleum",1.5,-118.150556,34.989722
"Intel Folsom","Tesla Inc.","Folsom","California","solar",1,-121.172999,38.645119
"Stony Creek Wind Farm NY","Invenergy Services LLC","Strykersville","New York","wind",94.4,-78.415843,42.767614
"Roeder Family Wind Farm LLC","Consolidated Edison Development Inc.","Manly","Iowa","wind",1.6,-93.283333,43.297222
"Middlesex Apple Orchard Solar","CVI CleanCapital Solar 4 LLC","North Brunswick","New Jersey","solar",4.7,-74.492222,40.426389
"Keystone Solar","Altus Power America Management, LLC","Quarryville","Pennsylvania","solar",5,-76.221111,39.861111
"BBB Corporate Headquarters","Cushman Wakefield","Union","New Jersey","solar",1,-74.305,40.697222
"Christmas Tree Shops DC Burlington NJ","Prologis Logistics Services Incorporated","Florence Township","New Jersey","solar",2.1,-74.812778,40.104167
"Harmon DC Totowa NJ","Taft Associates c/o Wilson Associates","Totowa","New Jersey","solar",1.5,-74.247778,40.903889
"Bed Bath & Beyond DC Port Reading NJ","Prologis Logistics Services Incorporated","Port Reading","New Jersey","solar",1.8,-74.2425,40.568333
"Green Meadows","Altus Power America Management, LLC","Sandwich","Massachusetts","solar",3.5,-70.531944,41.669444
"El Cabo Wind","Avangrid Power LLC","Encino","New Mexico","wind",298,-105.461667,34.651111
"Montague Wind Power Facility LLC","Avangrid Power LLC","Arlington","Oregon","wind",200,-120.0904,45.5857
"Kern Oil & Refining Co","Kern Oil & Refining Co","Bakersfield","California","natural gas",4.9,-118.918333,35.295556
"Foundation Cemex River Plant","Foundation CA Fund VI Manager LLC","Victorville","California","wind",3.2,-117.307222,34.561944
"Foundation Cemex BMQ","Foundation CA Fund VI Manager LLC","Apple Valley","California","wind",3,-117.1125,34.623056
"Heritage Garden Wind Farm I LLC","DTE Sustainable Generation","Garden","Michigan","wind",28,-86.533889,45.795556
"Foundation Superior Farms","Foundation CA Fund VI Manager LLC","Dixon","California","wind",1,-121.818056,38.42
"Foundation Wal-Mart Red Bluff","Foundation CA Fund VI Manager LLC","Red Bluff","California","wind",1,-122.193889,40.111111
"Meadow Creek Project Company","Ridgeline Energy LLC","Idaho Falls","Idaho","wind",115.8,-111.803921,43.524429
"International Paper Red River Mill","Red River Mill Intl Paper Company","Campti","Louisiana","biomass",55,-93.1725,31.905833
"Georgia-Pacific Toledo Mill","Georgia-Pacific Toledo LLC","Toledo","Oregon","biomass",13.4,-123.931944,44.611944
"Brookside Newark","Diamond State Generation Partners, LLC","Newark","Delaware","natural gas",2.6,-75.716111,39.668889
"Bishop Hill II Wind Farm","Bishop Hill Energy II, LLC","Cambridge","Illinois","wind",81,-90.174167,41.2325
"Foundation Cemex Madison","Foundation CA Fund V Manager, LLC","Madison","California","wind",1,-121.9325,38.692778
"Foundation RRM","Foundation CA Fund V Manager, LLC","Cabazon","California","wind",2,-116.815,33.917222
"Foundation NWNA","Foundation CA Fund V Manager, LLC","Cabazon","California","wind",5.1,-116.749167,33.914167
"Cellu Tissue","Dunn Paper East Hartford, LLC","East Hartford","Connecticut","natural gas",2.5,-72.606667,41.776111
"TNSG South Plant","TDX North Slope Generating Inc.","Deadhorse","Alaska","natural gas",7.2,-148.466667,70.2
"La Joya Del Sol","CVI CleanCapital Solar 1 LLC","Fresno","California","solar",1.5,-119.7975,36.678611
"Depot Park Solar System","Depot Park Solar Farm","Sacramento","California","solar",2.7,-121.398333,38.515
"Echo Wind Park","DTE Electric Company","Elkton","Michigan","wind",162,-83.161389,43.8825
"Delano Energy Center","Wellhead Services, Inc","Delano","California","natural gas",60.5,-119.294469,35.790864
"Wakefern Food Corp","NJR Clean Energy Ventures Corporation","Keasbey","New Jersey","solar",2,-74.328333,40.51
"Rothschild Biomass Cogen Facility","Wisconsin Electric Power Co","Rothschild","Wisconsin","biomass",46.6,-89.629722,44.887778
"Quay County","Southwestern Public Service Co","Tucumcari","New Mexico","petroleum",17,-103.731111,35.182778
"Limon Wind I","Limon","Limon","Colorado","wind",200,-103.573236,39.380975
"Limon Wind II","Limon","Limon","Colorado","wind",200,-103.581111,39.341389
"Kaiser Downey","Bloom Energy 2009 PPA","Downey","California","natural gas",1,-118.128611,33.919167
"Blue Mountain Biogas","Blue Mountain Biogas LLC","Milford","Utah","biomass",3,-113.297222,38.173889
"Outback Solar At Christmas Valley","Outback Solar, LLC","Christmas Valley","Oregon","solar",4.4,-120.49,43.236944
"Kaiser Ontario","Bloom Energy 2009 PPA","Ontario","California","natural gas",1,-117.608889,34.0325
"Oberlin Spear Point Solar One","Oberlin College","Oberlin","Ohio","solar",2,-82.227047,41.302761
"Washington White Post Solar LLC","Duke Energy Renewables Services","Bath","North Carolina","solar",12.4,-76.8484,35.5052
"Adkins Energy LLC","Adkins Energy LLC","Lena","Illinois","natural gas",5.8,-89.803611,42.362222
"Ensign Wind LLC","NextEra Energy Resources Ensign Wind","Montezuma","Kansas","wind",98.9,-100.278666,37.614473
"Otter Creek Ethanol Poet - Ashton","Otter Creek Ethanol LLC - Poet Ashton","Ashton","Iowa","natural gas",5.5,-95.809722,43.275
"Central Energy Plant USU","Utah State University","Logan","Utah","natural gas",4.4,-111.811667,41.748611
"Summit Street Power Plant","Kent State University","Kent","Ohio","natural gas",11.8,-81.340833,41.143056
"Groton Wind LLC","Avangrid Power LLC","Groton","New Hampshire","wind",48,-71.8189,43.7681
"SVEP Solar Project Company","CVI CleanCapital Solar 1 LLC","Pownal","Vermont","solar",2,-73.226111,42.753611
"Williamstown Solar","CVI CleanCapital Solar 1 LLC","Williamstown","Vermont","solar",2,-72.605833,44.113056
"Twin Rivers Paper Co LLC","Twin Rivers Paper Co LLC","Madawaska","Maine","other",22,-68.330855,47.358139
"Prescott Solar Plant","SunE AZ1, LLC","Prescott","Arizona","solar",10.8,-112.4275,34.649444
"RE Kansas South LLC","RE Kansas South LLC","Lemoore","California","solar",20,-119.834167,36.226111
"TA-High Desert LLC","TA-High Desert LLC","Lancaster","California","solar",20,-118.304722,34.708889
"Black Cap Solar Plant","PacifiCorp","Lakeview","Oregon","solar",2,-120.362631,42.17505
"Central Utility Plant - Texas A&M","Texas A&M, Utilities & Energy Services","College Station","Texas","natural gas",43.4,-96.343333,30.617778
"Danbury Hospital Cogen Plant","Danbury Hospital","Danbury","Connecticut","natural gas",3.6,-73.4475,41.405278
"Eastern Maine Medical Center","Eastern Maine Medical Center","Bangor","Maine","natural gas",3.8,-68.750833,44.808333
"North Sky River Energy LLC","North Sky River Energy LLC","Weldon","California","wind",162,-118.186389,35.347778
"Perrin Ranch Wind LLC","Perrin Ranch Wind LLC","Williams","Arizona","wind",99.2,-112.271111,35.415556
"SUNY Old Westbury College","SUNY Old Westbury College","Old Westbury","New York","natural gas",1.8,-73.565661,40.797858
"University of Rochester","University of Rochester","Rochester","New York","natural gas",24.2,-77.628889,43.123889
"Wesleyan University Cogen 1","Wesleyan University","Middletown","Connecticut","natural gas",2.3,-72.653889,41.556389
"UCONN Cogen Facility","University of Connecticut","Storrs","Connecticut","natural gas",24.1,-72.254167,41.809167
"Williams College - Campus CHP","President & Trustees of Williams College","Williamstown","Massachusetts","petroleum",7,-73.202222,42.709722
"Western Michigan University Power Plant","Western Michigan University","Kalamazoo","Michigan","natural gas",15.1,-85.606389,42.28
"Cirrus Wind 1 LLC","Cirrus Wind 1 LLC","Tahoka","Texas","wind",61.2,-101.6875,33.033056
"Mercy Medical Center","Mercy Medical Center","Rockville Centre","New York","petroleum",3,-73.630833,40.688333
"Slayton Solar","Ecos Energy LLC","Slayton","Minnesota","solar",1.7,-95.767222,43.980278
"College of New Jersey","The College of New Jersey","Ewing","New Jersey","natural gas",4.2,-74.773333,40.269444
"Smith College Central Heating Plant","The Trustees of Smith College","Northampton","Massachusetts","natural gas",2.7,-72.639444,42.3125
"William Floyd School District","William Floyd School District","Mastic Beach","New York","natural gas",3.9,-72.850833,40.776944
"Energy Center","University of Redlands","Redlands","California","natural gas",0.9,-117.163889,34.063056
"CSUF Trigeneration","California State University at Fullerton","Fullerton","California","natural gas",8.6,-117.88656,33.880638
"Prairie Fire","Tucson Electric Power Co","Tucson","Arizona","solar",4.5,-110.82,32.116389
"Seaside Heights Power Plant","Seaside Heights Municipal Utility","Seaside Heights","New Jersey","petroleum",6,-74.078611,39.943333
"BMW Manufacturing Co","BMW Manufacturing Co LLC","Greer","South Carolina","biomass",10.1,-82.178333,34.894167
"Wilson Solar","Consolidated Edison Solutions Inc.","Spencer","Massachusetts","solar",2,-71.98,42.264167
"Kishwaukee CHP Plant","Four Rivers Sanitation Authority","Rockford","Illinois","biomass",3,-89.093333,42.221944
"M. G. Emmett J. Bean Federal Center","U.S. General Services Administration","Indianapolis","Indiana","solar",1.5,-86.014444,39.853056
"MTSU Power Co-Gen Plant","Middle Tennessee State University","Murfreesboro","Tennessee","natural gas",5,-86.365,35.851389
"UNH 7.9 MW Plant","Emcor Energy Services","Durham","New Hampshire","biomass",7.9,-70.936125,43.13674
"Loyola University Health Plant","Loyola University Health System","Maywood","Illinois","natural gas",7.8,-87.835556,41.855833
"Prairie Horizon Agri Energy","Prairie Horizon Agri Energy LLC","Phillipsburg","Kansas","natural gas",0.7,-99.305833,39.761111
"Rand Whitney CHP Plant","Rand Whitney Containerboard L.P.","Montville","Connecticut","natural gas",16.5,-72.136111,41.452778
"Amherst College Co Gen","Amherst College","Amherst","Massachusetts","natural gas",1.2,-72.512222,42.371667
"HVCC Cogen Plant","Hudson Valley Community College","Troy","New York","natural gas",7.4,-73.68,42.696944
"180 Raritan Solar","180 Raritan Energy Solutions, LLC","Edison","New Jersey","solar",1.9,-74.34,40.516111
"Thomas M Knott Cogen Facility","Sentinel Peak Resources California, LLC","San Luis Obispo","California","natural gas",1.2,-120.618333,35.184444
"US Magnesium","US Magnesium","Rowley","Utah","natural gas",33,-112.733889,40.913333
"Arkalon Ethanol LLC","Arkalon Ethanol LLC","Liberal","Kansas","natural gas",3,-100.803611,37.110556
"Bonanza BioEnergy LLC","Bonanza BioEnergy LLC","Garden City","Kansas","natural gas",2,-100.8361,37.9586
"West Campus Steam Plant","Penn State University","University Park","Pennsylvania","natural gas",9.3,-77.864722,40.792778
"East Campus Steam Plant","Penn State University","University Park","Pennsylvania","natural gas",7.4,-77.8475,40.809167
"Cargill Salt Hersey","Cargill Salt Hersey","Hersey","Michigan","natural gas",2.1,-85.355833,43.834167
"POET Biorefining Lake Crystal","POET Biorefining Lake Crystal","Lake Crystal","Minnesota","petroleum",7,-94.276667,44.093333
"Parnassus Central Utility Plant","University of California-San Francisco","San Francisco","California","natural gas",12.5,-122.456747,37.762524
"Arizona State University CHP","Energy Center Phoenix LLC","Tempe","Arizona","natural gas",17.1,-111.928333,33.417222
"Monroe Community College Plant","Monroe County (NY)","Rochester","New York","natural gas",5.6,-77.610278,43.103889
"RE Victor Phelan Solar One LLC","MN8 Energy LLC","Adelanto","California","solar",20,-117.47753,34.51231
"Minco Wind III, LLC","FPLE Wind, LLC","Minco","Oklahoma","wind",100.8,-98.182731,35.372359
"Grassland 3&4 Solar Project","Yolo County of","Davis","California","solar",2,-121.694167,38.500278
"Grand Ave Plant","Yolo County of","Kansas City","Missouri","natural gas",4.8,-94.581111,39.111944
"West Gates Solar Station","Pacific Gas & Electric Co.","Huron","California","solar",10,-120.1325,36.142222
"Central Utility Plant at White Oak","GSA Metropolitan Service Center","Silver Spring","Maryland","natural gas",54.2,-76.9825,39.039444
"Cinnamon Bay Edgeboro Landfill","Cinnamon Bay LLC","East Brunswick","New Jersey","biomass",6,-74.393889,40.465278
"NextEra-Blackwell Wind, LLC","Blackwell Wind, LLC","Blackwell","Oklahoma","wind",59.8,-97.4175,36.846667
"NFM Solar Power LLC","FirstLight Power Resources, Inc. - MA","Northfield","Massachusetts","solar",1.9,-72.474167,42.610833
"Saddle Mountain Solar I","SunE AZ2, LLC","Tonopah","Arizona","solar",15,-113.180833,33.378333
"West Greenwich Solar","Consolidated Edison Development Inc.","West Greenwich","Rhode Island","solar",1.9,-71.71,41.649444
"Lee Combined Cycle Plant","Duke Energy Progress - (NC)","Goldsboro","North Carolina","natural gas",888,-78.089444,35.373611
"Grassland 1&2 Solar Project","Yolo County of","Davis","California","solar",2,-121.694167,38.500278
"Spion Kop Wind Farm","NorthWestern Energy (MT wind/thermal)","Geyser","Montana","wind",40,-110.639167,47.333333
"Haviland Plastic Products","Haviland Plastic Products Co","Haviland","Ohio","wind",4.5,-84.5875,41.016111
"E.B. Eddy Paper Inc","Port Huron Multimodal Hub, LLC","Port Huron","Michigan","natural gas",5,-82.4379,42.9896
"Hoag Hospital Cogen Plant","Hoag Memorial Presbyterian Hospital","Newport Beach","California","natural gas",3.6,-117.936389,33.622778
"CCSU Co-Gen-STBY Gen","Central Connecticut State University","New Britain","Connecticut","natural gas",3.6,-72.768611,41.691389
"Newberry Solar 1 LLC","Newberry Solar 1 LLC","Newberry Springs","California","solar",1.5,-116.683108,34.853581
"SEPV9 Power Plant","Duke Energy Renewables Services","Twentynine Palms","California","solar",8.5,-116.090278,34.192222
"Milford Solar Farm","Milford Solar LLC","Milford","Delaware","solar",11.8,-75.453333,38.923056
"Lincoln Financial Field","NRG Energy Center Eagles LLC","Philadelphia","Pennsylvania","solar",2.9,-75.1675,39.900833
"Tahquitz High School","AES Distributed Energy","Hemet","California","solar",1,-117.0175,33.767222
"Wagner Wind LLC","Greenbacker Renewable Energy Corporation","Palm Springs","California","wind",6,-116.555556,33.908889
"SEPV 8","Duke Energy Renewables Services","Twentynine Palms","California","solar",11.8,-116.1525,34.171944
"Clayville","City of Vineland - (NJ)","Vineland","New Jersey","natural gas",55,-75.02,39.424444
"Marshalltown Generating Station","Interstate Power and Light Co","Marshalltown","Iowa","natural gas",668.7,-92.872778,42.043333
"CCSU Fuel Cell Project","New Britain Renewable Energy, LLC","New Britain","Connecticut","natural gas",1.4,-72.761111,41.691944
"Georgia Mountain Community Wind Farm","Greenbacker Renewable Energy Corporation","Milton","Vermont","wind",10,-73.07,44.661667
"Kent County-Kennedyville","Terraform Arcadia","Kennedyville","Maryland","solar",1,-75.982222,39.297222
"Kit Carson","Terraform Arcadia","Amalia","New Mexico","solar",1.3,-105.438056,36.966667
"Rock Hall","Terraform Arcadia","Rock Hall","Maryland","solar",1,-76.231644,39.144369
"Pattern Panhandle Wind LLC","Pattern Operators LP","Panhandle","Texas","wind",218,-101.253056,35.4275
"Kent County - Worton Complex","Terraform Arcadia","Worton","Maryland","solar",1,-76.090833,39.280833
"West Valley High School Solar","AES Distributed Energy","Hemet","California","solar",0.9,-117.009722,33.719722
"Northeastern Illinois University Cogen","Northeastern Illinois University","Chicago","Illinois","natural gas",3.2,-87.719167,41.981111
"Millersville LFG","LES Operations Services LLC","Severn","Maryland","biomass",3,-76.676389,39.084722
"Pierce College","Los Angeles Community College District","Wilmington","California","solar",1.9,-118.574722,34.183611
"VA Sepulveda Ambulatory Care Center","VA Sepulveda Ambulatory Care Center","North Hills","California","solar",3.5,-118.483333,34.248889
"Tullytown","WM Renewable Energy LLC","Morrisville","Pennsylvania","biomass",1.6,-74.780556,40.151389
"C&H Sugar Plant","C&H Sugar Company Inc","Crockett","California","other",10,-122.218889,38.057222
"Alpha Ridge LFG","Howard County - Maryland","Marriottsville","Maryland","biomass",1,-76.901944,39.305
"CBS Television City","Televison City Studios, LLC.","Los Angeles","California","solar",1.6,-118.36,34.075
"Chatham","City of Lowell - (MI)","Lowell","Michigan","natural gas",6.6,-85.3475,42.934444
"Rubart","Sunflower Electric Power Corp","Ulysses","Kansas","natural gas",106.4,-101.099444,37.558611
"Los Alamos PV Site","Los Alamos County","Los Alamos","New Mexico","solar",1,-106.31,35.875556
"Upper Pacolet Hydro","Lockhart Power Co","Pacolet","South Carolina","hydroelectric",1.1,-81.745556,34.921389
"Central Utilities Plant LAX 2","LAX Airport","Los Angeles","California","natural gas",8.4,-118.404167,33.943889
"Kalaeloa Solar Two","Altus Power America Management, LLC","Honolulu","Hawaii","solar",5,-158.086944,21.32
"Brunswick County Power Station","Virginia Electric & Power Co","Freeman","Virginia","natural gas",1376,-77.713889,36.765
"FAA NorCal TRACON","Enfinity NorCal 1 FAA LLC","Mather AFB","California","solar",1,-121.257556,38.559533
"Badger 1","Desert Sky Solar LLC","Tonopah","Arizona","solar",14.8,-112.813458,33.498003
"Bay View Cogeneration Facility","COT/Division of Water Reclamation","Toledo","Ohio","biomass",8.4,-83.484722,41.688333
"NCAH Central Utility Plant","National Centers for Animal Health","Ames","Iowa","petroleum",14.1,-93.579444,42.046111
"Port Westward Unit 2","Portland General Electric Co","Clatskanie","Oregon","natural gas",224.4,-123.171944,46.178889
"Bay View Backup Power Facility","COT/Division of Water Reclamation","Toledo","Ohio","natural gas",12,-83.484722,41.688333
"Acushnet AD Makepeace","CleanCapital Holdings","Wareham","Massachusetts","solar",3.5,-70.743611,41.798889
"Acushnet Hawes Reed Road","CleanCapital Holdings","Dartmouth","Massachusetts","solar",1,-71.0425,41.662222
"Easthampton Landfill-City of Easthampton","CleanCapital Holdings","Easthampton","Massachusetts","solar",1.9,-72.701389,42.286944
"South Robeson Farm","USF Surry, LLC","Rowland","North Carolina","solar",4.9,-79.28097,34.561146
"Raeford Farm","SRE Utility Solar 1, LLC","Raeford","North Carolina","solar",4.9,-79.211944,34.968889
"Mass Midstate Solar 3","Evergreen Wind, LLC","Warren","Massachusetts","solar",4,-71.878611,42.219722
"Mass Midstate Solar 2","Evergreen Wind, LLC","Warren","Massachusetts","solar",5,-72.200145,42.170417
"Paia Hydroelectric Plant","Mahi Pono LLC","Paia","Hawaii","hydroelectric",1.3,-156.3378,20.8867
"TNSG North Plant","TDX North Slope Generating Inc.","Deadhorse","Alaska","natural gas",23.1,-148.383611,70.235278
"Mass Midstate Solar 1","Evergreen Wind, LLC","Warren","Massachusetts","solar",5,-71.878333,42.219722
"Millbury Solar","Evergreen Wind, LLC","Millbury","Massachusetts","solar",3,-71.795,42.164722
"Lanikuhana Solar LLC","Lanikuhana Solar LLC","Mililani","Hawaii","solar",14.7,-158.02361,21.4287
"Flat Iron Wind (7) LLC","UPC Power Solutions","Sunray","Texas","wind",10,-101.9,36.0264
"Bellingham PV","Terraform Arcadia","Douglas","Massachusetts","solar",3,-71.703056,42.075
"Leicester One MA Solar LLC","CVI CleanCapital Solar 1 LLC","Leicester","Massachusetts","solar",4.8,-71.878611,42.222778
"Freetown Solar","Mass Solar, LLC","Freetown","Massachusetts","solar",4.5,-70.980833,41.766389
"La Luz Energy Center","Public Service Co of NM","Belen","New Mexico","natural gas",40,-106.815,34.616111
"Venable Solar 1","Venable Solar, LLC","Blythe","California","solar",1.5,-114.571667,33.598889
"Venable Solar 2","Venable Solar, LLC","Blythe","California","solar",1.5,-114.571667,33.597222
"Jewish Community Center PV","AES Distributed Energy","Scottsdale","Arizona","solar",1.2,-111.924722,33.603056
"Paradise Valley H.S. PV","AES Distributed Energy","Phoenix","Arizona","solar",1.4,-111.9997,33.6416
"Roll Delano","Bloom Energy","Delano","California","natural gas",1.2,-119.236667,35.734167
"Xilinx San Jose","Bloom Energy","San Jose","California","natural gas",1,-121.934167,37.252778
"Life Technologies Carlsbad","Bloom Energy","Carlsbad","California","natural gas",1,-117.286944,33.137222
"Kingsburg Solar","Altus Power America Management, LLC","Kingsburg","California","solar",3.7,-119.540278,36.505278
"PCIP Solar","Greenbacker Renewable Energy Corporation","Timberlake","North Carolina","solar",1,-78.9675,36.3125
"Exeter Solar","Altus Power America Management, LLC","Exeter","California","solar",3.5,-119.128581,36.2675
"Ivanhoe Solar","Altus Power America Management, LLC","Visalia","California","solar",3.5,-119.255,36.3875
"Lindsay Solar","Altus Power America Management, LLC","Lindsay","California","solar",4,-119.133889,36.211944
"Porterville Solar","Altus Power America Management, LLC","Porterville","California","solar",3.5,-119.039722,36.102778
"Lake Charles Plant","Rain CII Carbon LLC","Sulphur","Louisiana","other",28,-93.335556,30.148889
"Chadbourn Farm","Strata Manager, LLC","Whiteville","North Carolina","solar",5,-78.764901,34.324656
"Warrenton Farm","Palmetto Power Management LLC","Warrenton","North Carolina","solar",4,-78.171111,36.415
"Mocksville Farm","Strata Manager, LLC","Mocksville","North Carolina","solar",5,-80.541944,35.878611
"Belwood Farm","Palmetto Power Management LLC","Lawndale","North Carolina","solar",4,-81.508333,35.47
"Arndt Farm","Strata Manager, LLC","Claremont","North Carolina","solar",5,-81.175556,35.779167
"Railroad Farm","Palmetto Power Management LLC","St. Pauls","North Carolina","solar",5,-78.970833,34.82
"Watts Farm","Palmetto Power Management LLC","Maxton","North Carolina","solar",5,-79.335278,34.726944
"Farrington Farm","Strata Manager, LLC","Chapel Hill","North Carolina","solar",1,-79.025,35.832778
"Patua Acquisition Project, LLC","Patua Acquisition Company, LLC","Hazen","Nevada","geothermal",40.6,-119.073056,39.585833
"G2 Energy Hay Rd","G2 Energy LLC","Vacaville","California","biomass",1.5,-121.833611,38.314722
"Goldthwaite Wind Energy Facility","Invenergy Services LLC","Goldthwaite","Texas","wind",150,-98.466667,31.383333
"Prairie Breeze","SunEdison LLC","Elgin","Nebraska","wind",200.6,-98.076667,41.951667
"Shannon Farm","Strata Manager, LLC","Shannon","North Carolina","solar",5,-79.128889,34.8475
"Vansycle II Wind Energy Center","FPL Energy Stateline II Inc","Athena","Oregon","wind",102.3,-118.591389,45.899167
"Charles D. Lamb Energy Center","Oklahoma Municipal Power Authority","Ponca City","Oklahoma","natural gas",122,-97.125278,36.813889
"PWD Northeast WPCP Biogas Cogen Plant","Philadelphia Water Department","Philadelphia","Pennsylvania","biomass",5.6,-75.083333,39.988611
"Bradley Energy Center","Ameresco Select Inc","Windsor Locks","Connecticut","natural gas",5.8,-72.683143,41.927102
"North Chicago Energy Center","Energy Systems Group LLC","North Chicago","Illinois","natural gas",12.3,-87.851944,42.306389
"UMMS at Pocomoke","Luminace Solar Maryland II, LLC","Pocomoke City","Maryland","solar",2.8,-75.611111,38.098056
"The Andersons Albion Ethanol LLC","The Andersons Albion Ethanol LLC","Albion","Michigan","natural gas",7.2,-84.788333,42.256111
"Fuquay Farm","Strata Manager, LLC","Middle Creek Township","North Carolina","solar",5,-78.710261,35.564354
"Haynes Farm","Strata Manager, LLC","Lincolnton","North Carolina","solar",5,-81.235278,35.525833
"Lenoir Farm","Strata Manager, LLC","Kinston","North Carolina","solar",5,-77.666389,35.331667
"Lenoir Farm 2","Strata Manager, LLC","Kinston","North Carolina","solar",5,-77.475106,35.350081
"Marshville Farm","Strata Manager, LLC","Marshville","North Carolina","solar",5,-80.383611,34.988889
"Mile Farm","Palmetto Power Management LLC","Rougemont","North Carolina","solar",5,-78.949586,36.230561
"Moore Solar Farm","Strata Manager, LLC","Reidsville","North Carolina","solar",5,-79.759203,36.273192
"Moorings Farm","Strata Manager, LLC","New Hope","North Carolina","solar",5,-77.829167,35.305833
"New Bern Farm","Strata Manager, LLC","Ernul","North Carolina","solar",5,-77.056725,35.209564
"Roxboro Farm","Strata Manager, LLC","Roxboro","North Carolina","solar",5,-78.917364,36.4797
"White Cross Farm","Strata Manager, LLC","Chapel Hill","North Carolina","solar",5,-79.188297,35.907144
"Wilson Farm 1","Strata Manager, LLC","Elm City","North Carolina","solar",5,-77.873611,35.803611
"Yanceyville Farm","Palmetto Power Management LLC","Blanch","North Carolina","solar",5,-79.278889,36.439444
"AM Best Farm","Strata Manager, LLC","Goldsboro","North Carolina","solar",5,-77.985556,35.418889
"Mt Olive Farm 2","Strata Manager, LLC","Mt Olive","North Carolina","solar",5,-78.069722,35.218056
"Dibrell Farm","Strata Manager, LLC","Pelham","North Carolina","solar",5,-79.528056,36.471667
"Rock Farm","Strata Manager, LLC","Rockingham","North Carolina","solar",5,-79.609722,34.965556
"Two Lines Farm","Strata Manager, LLC","Hickory","North Carolina","solar",5,-81.326667,35.629167
"Bolton Farm","Strata Manager, LLC","Warrenton","North Carolina","solar",5,-78.132311,36.421617
"McCallum Farm","Strata Manager, LLC","Rowland","North Carolina","solar",5,-79.30219,34.543889
"Tuscola Bay Wind","Tuscola Bay Wind LLC","Reese","Michigan","wind",120,-83.65,43.525278
"McKinley Paper Co. - Washington Mill","McKinley Paper Co. - Washington Mill","Port Angeles","Washington","biomass",12,-123.465556,48.134722
"Radiance Solar 4","Greenbacker Renewable Energy Corporation","Lancaster","California","solar",1.5,-118.288056,34.665556
"Radiance Solar 5","Greenbacker Renewable Energy Corporation","Lancaster","California","solar",1.5,-118.286944,34.665556
"The Lawrenceville School Solar Facility","CVI CleanCapital Solar 4 LLC","Lawrenceville","New Jersey","solar",5.2,-74.722117,40.301409
